Thana Name,District,Location,Crime Type,Date,Time
Data Gunj Baksh,Lahore,"31.579556454680862,74.30917554908672",narcotics,05/01/15,7:05:00
Data Gunj Baksh,Lahore,"31.577906291651445,74.3087966573538",narcotics,05/01/15,12:50:00
Data Gunj Baksh,Lahore,"31.57881218070702,74.30808339061345",narcotics,05/01/15,16:00:00
Data Gunj Baksh,Lahore,"31.579510564085016,74.30657357761338",othercrimes,07/01/15,14:06:00
Data Gunj Baksh,Lahore,"31.578884802541264,74.30785112755365",narcotics,07/01/15,18:20:00
Data Gunj Baksh,Lahore,"31.58389141431189,74.3098003531276",loudspeakeract,09/01/15,14:25:00
Data Gunj Baksh,Lahore,"31.57989123495425,74.30672668140694",narcotics,10/01/15,0:30:00
Data Gunj Baksh,Lahore,"31.580017014222246,74.30735655376259",loudspeakeract,09/01/15,14:30:00
Data Gunj Baksh,Lahore,"31.577750537385896,74.30901386753722",othercrimes,04/01/15,11:30:00
Data Gunj Baksh,Lahore,"31.580076269290988,74.30647134370663",miscellaneous,10/01/15,9:00:00
Data Gunj Baksh,Lahore,"31.576744864335062,74.31098248670938",attackongovtservant,12/01/15,20:00:00
Data Gunj Baksh,Lahore,"31.581059949076593,74.30658908935229",miscellaneous,13/01/15,17:55:00
Data Gunj Baksh,Lahore,"31.579065586130508,74.30930995241219",narcotics,14/01/15,14:10:00
Data Gunj Baksh,Lahore,"31.58050898726957,74.31036444179944",othercrimes,10/01/15,13:13:00
Data Gunj Baksh,Lahore,"31.57737434663491,74.3090359909638",othercrimes,10/01/15,12:53:00
Data Gunj Baksh,Lahore,"31.5809641,74.3068945",bulgery,16/01/15,14:05:00
Data Gunj Baksh,Lahore,"31.57912658632711,74.30909855861263",loudspeakeract,16/01/15,13:35:00
Data Gunj Baksh,Lahore,"31.578982175228283,74.30903250110805",miscellaneous,04/01/15,11:00:00
Data Gunj Baksh,Lahore,"31.578294695813156,74.31064431125857",attemptedmurder,17/01/15,21:20:00
Data Gunj Baksh,Lahore,"31.57792671993519,74.31082004441687",miscellaneous,17/01/15,21:30:00
Gulberg Town ,Lahore,"31.55976138439687,74.32364300206146",attemptedmurder,01/01/15,0:30:00
Gulberg Town ,Lahore,"31.54839490106184,74.32702743667943",othercrimes,01/01/15,9:00:00
Gulberg Town ,Lahore,"31.5531570363178,74.32268851615657",miscellaneous,01/01/15,12:00:00
Gulberg Town ,Lahore,"31.55752750930037,74.31703846427406",motorcyclesnatching,01/01/15,20:45:00
Gulberg Town ,Lahore,"31.560311538926875,74.31468964504357",kidnappingminors,02/01/15,14:00:00
Gulberg Town ,Lahore,"31.546237101918674,74.32121786587629",miscellaneous,03/01/15,7:45:00
Gulberg Town ,Lahore,"31.549058623190636,74.32893853159918",miscellaneous,05/01/15,22:30:00
Gulberg Town ,Lahore,"31.555913834258075,74.31931908293745",miscellaneous,05/01/15,23:55:00
Gulberg Town ,Lahore,"31.555978393610562,74.31944215355776",othercrimes,02/01/15,19:30:00
Gulberg Town ,Lahore,"31.560074705806485,74.32411015041511",othercrimes,06/01/15,0:00:00
Gulberg Town ,Lahore,"31.561472524889865,74.32065818900928",othercrimes,02/01/15,23:00:00
Gulberg Town ,Lahore,"31.55417658568922,74.32313436519723",miscellaneous,08/01/15,21:00:00
Gulberg Town ,Lahore,"31.55298501931644,74.31962256045315",miscellaneous,08/01/15,21:00:00
Gulberg Town ,Lahore,"31.54696462155104,74.3288985215479",miscellaneous,10/01/15,15:40:00
Gulberg Town ,Lahore,"31.548003942986472,74.32953359743333",antinorcoticsact,14/01/15,0:15:00
Gulberg Town ,Lahore,"31.55465300059557,74.32550880721233",othercrimes,10/01/15,9:30:00
Gulberg Town ,Lahore,"31.55588985850371,74.32168565054944",othervehicletheft,10/01/15,21:35:00
